country,trade_balance,most_imported_product,import_value,most_exported_product,exported_value
Austria,-281491264.00,"Base metal mountings, fittings and similar articles for furniture, doors, staircases, windows, trunks, chests etc, castors with mountings of base metal, automatic door closers of base metal",21843995.00,Confidential items,21843995.00
Belgium,-243428834.00,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",95766833.00,"Meat of sheep or goats; fresh, chilled or frozen",95766833.00
Bulgaria,2422919.00,Sunflower seeds; whether or not broken,2441923.00,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",2441923.00
Croatia,-4973690.00,"Electric transformers, static converters (e.g. rectifiers) and inductors",2867990.00,"Motorcycles (including mopeds) and cycles; fitted with an auxiliary motor, with or without side-cars; side-cars",2867990.00
Cyprus,8178753.00,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",2242326.00,"Meat of sheep or goats; fresh, chilled or frozen",2242326.00
Czechia,-181382151.00,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",56447664.00,"Wool, not carded or combed",56447664.00
Denmark,-220080965.00,"Orthopaedic appliances; including crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other which are worn, carried or implanted in the body to compensate for a defect or disability",86267357.00,"Human blood; animal blood for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, immunological products, modified or obtained by biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) etc",86267357.00
Estonia,-6938352.00,Buildings; prefabricated,3346564.00,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, of a thickness exceeding 6mm",3346564.00
Finland,-182292918.00,"Meat of swine; fresh, chilled or frozen",22959531.00,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",22959531.00
France,-935406606.00,"Aircraft n.e.c. in heading no. 8801, except unmanned aircraft of heading 8806, (e.g. helicopters, aeroplanes); spacecraft (including satellites) and suborbital and spacecraft launch vehicles",206675266.00,"Meat of sheep or goats; fresh, chilled or frozen",206675266.00
Germany,-2244810910.00,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",357661269.00,"Meat of sheep or goats; fresh, chilled or frozen",357661269.00
Greece,19661484.00,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",15506772.00,"Molluscs; whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process",15506772.00
Hungary,-155907025.00,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",32075380.00,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",32075380.00
Ireland,-202527633.00,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",87439872.00,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",87439872.00
Italy,-1264244016.00,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",96277862.00,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",96277862.00
Latvia,-12556346.00,"Plywood, veneered panels and similar laminated wood",6508062.00,"Wool, not carded or combed",6508062.00
Lithuania,-16257093.00,"Yarn of carded wool, not put up for retail sale",5637433.00,"Wool, not carded or combed",5637433.00
Luxembourg,-6205865.00,"Floor coverings of plastics, self-adhesive or not, in rolls or tiles; wall or ceiling coverings of plastics, in rolls of a width not less than 45cm",4419469.00,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",4419469.00
Malta,-2444423.00,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",3403874.00,"Meat of sheep or goats; fresh, chilled or frozen",3403874.00
Netherlands,502202936.00,Food preparations not elsewhere specified or included,43769328.00,"Meat of sheep or goats; fresh, chilled or frozen",43769328.00
Poland,-246898675.00,"Turbo-jets, turbo-propellers and other gas turbines",46311734.00,"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen",46311734.00
Portugal,-25140767.00,"Plastics; plates, sheets, film, foil and strip (not self-adhesive); non-cellular and not reinforced, laminated, supported or similarly combined with other materials, n.e.c. in chapter 39",6540342.00,"Meat of sheep or goats; fresh, chilled or frozen",6540342.00
Romania,-71783188.00,Maize (corn),18973782.00,Aluminium; unwrought,18973782.00
Slovakia,-110401632.00,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",93011130.00,"Harvesting and threshing machinery, straw and fodder balers, grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading no 8437",93011130.00
Slovenia,-30966792.00,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",8117043.00,"Iron or steel; articles, n.e.c. in chapter 73",8117043.00
Spain,-430254329.00,"Olive oil and its fractions; whether or not refined, but not chemically modified",59124627.00,"Molluscs; whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process",59124627.00
Sweden,-266336695.00,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale",25462444.00,"Meat of sheep or goats; fresh, chilled or frozen",25462444.00
